TIME(sec.)  dFi2(rad)  dLm2(rad)
300.0000000000    0.0000000638    0.0037680494    
301.0000000000    0.0000000395    0.0037807739    
302.0000000000    0.0000002145    0.0037932657    
303.0000000000    0.0000000429    0.0038057924    
304.0000000000    -0.0000000659    0.0038188129    
305.0000000000    -0.0000000649    0.0038309446    
306.0000000000    0.0000000960    0.0038433599    
307.0000000000    -0.0000000652    0.0038560992    
308.0000000000    -0.0000002465    0.0038687260    
309.0000000000    -0.0000002401    0.0038813819    
310.0000000000    -0.0000001558    0.0038941426    
311.0000000000    -0.0000001882    0.0039067634    
312.0000000000    0.0000000353    0.0039192729    
313.0000000000    -0.0000000355    0.0039319969    
314.0000000000    0.0000001396    0.0039444715    
315.0000000000    0.0000000298    0.0039571727    
316.0000000000    -0.0000001459    0.0039695969    
317.0000000000    0.0000000182    0.0039821314    
318.0000000000    -0.0000003279    0.0039946910    
319.0000000000    0.0000003043    0.0040073783    
320.0000000000    0.0000002244    0.0040198293    
321.0000000000    0.0000001245    0.0040325347    
322.0000000000    0.0000001228    0.0040450939    
323.0000000000    0.0000002249    0.0040576686    
324.0000000000    -0.0000001275    0.0040703463    
325.0000000000    0.0000000169    0.0040827377    
326.0000000000    -0.0000002394    0.0040953022    
327.0000000000    0.0000002344    0.0041080427    
328.0000000000    -0.0000000556    0.0041204807    
329.0000000000    0.0000000135    0.0041334332    
330.0000000000    -0.0000001487    0.0041459804    
331.0000000000    -0.0000000444    0.0041581282    
332.0000000000    0.0000001273    0.0041709421    
333.0000000000    0.0000000749    0.0041835080    
334.0000000000    0.0000000891    0.0041959476    
335.0000000000    0.0000001885    0.0042084122    
336.0000000000    0.0000000601    0.0042211465    
337.0000000000    -0.0000000585    0.0042337852    
338.0000000000    0.0000001026    0.0042464384    
339.0000000000    -0.0000000093    0.0042590456    
340.0000000000    -0.0000001198    0.0042714557    
341.0000000000    0.0000001498    0.0042842042    
342.0000000000    0.0000000536    0.0042967740    
343.0000000000    0.0000000032    0.0043093059    
344.0000000000    -0.0000000863    0.0043218736    
345.0000000000    0.0000000692    0.0043344628    
346.0000000000    -0.0000002983    0.0043468372    
347.0000000000    -0.0000001602    0.0043596718    
348.0000000000    0.0000001111    0.0043720295    
349.0000000000    0.0000000615    0.0043845747    
350.0000000000    0.0000000849    0.0043975609    
351.0000000000    0.0000001531    0.0044098687    
352.0000000000    -0.0000000803    0.0044223612    
353.0000000000    -0.0000002197    0.0044352969    
354.0000000000    0.0000002554    0.0044473021    
355.0000000000    -0.0000000330    0.0044602407    
356.0000000000    0.0000001046    0.0044727170    
357.0000000000    0.0000001503    0.0044853238    
358.0000000000    0.0000002223    0.0044977897    
359.0000000000    0.0000001641    0.0045104707    
360.0000000000    0.0000002330    0.0045230536    
361.0000000000    0.0000000920    0.0045351944    
362.0000000000    -0.0000000566    0.0045482287    
363.0000000000    -0.0000000496    0.0045606065    
364.0000000000    -0.0000001766    0.0045730820    
365.0000000000    -0.0000001781    0.0045858362    
366.0000000000    -0.0000001063    0.0045984168    
367.0000000000    0.0000001025    0.0046108190    
368.0000000000    -0.0000000291    0.0046237399    
369.0000000000    0.0000003237    0.0046359625    
370.0000000000    0.0000000456    0.0046486287    
371.0000000000    0.0000002499    0.0046615692    
372.0000000000    -0.0000000459    0.0046738713    
373.0000000000    -0.0000000729    0.0046864652    
374.0000000000    -0.0000000103    0.0046989874    
375.0000000000    0.0000000624    0.0047114216    
376.0000000000    0.0000000215    0.0047238523    
377.0000000000    0.0000003039    0.0047363744    
378.0000000000    -0.0000000994    0.0047492897    
379.0000000000    -0.0000002013    0.0047616984    
380.0000000000    0.0000002237    0.0047741036    
381.0000000000    0.0000001445    0.0047872079    
382.0000000000    0.0000002144    0.0047991043    
383.0000000000    -0.0000000734    0.0048122108    
384.0000000000    -0.0000001781    0.0048239997    
385.0000000000    0.0000000877    0.0048370926    
386.0000000000    -0.0000000987    0.0048497265    
387.0000000000    0.0000000935    0.0048622464    
388.0000000000    0.0000001136    0.0048749746    
389.0000000000    0.0000001771    0.0048872083    
390.0000000000    0.0000002028    0.0048996176    
391.0000000000    -0.0000002129    0.0049122173    
392.0000000000    -0.0000000013    0.0049247757    
393.0000000000    -0.0000000664    0.0049372901    
394.0000000000    -0.0000001977    0.0049500851    
395.0000000000    0.0000001196    0.0049624242    
396.0000000000    0.0000000201    0.0049748456    
397.0000000000    0.0000002363    0.0049875182    
398.0000000000    -0.0000002378    0.0050002912    
399.0000000000    0.0000000242    0.0050128415    
400.0000000000    0.0000000914    0.0050253080    
401.0000000000    -0.0000002190    0.0050379719    
402.0000000000    0.0000001225    0.0050501983    
403.0000000000    -0.0000000254    0.0050627431    
404.0000000000    -0.0000002499    0.0050754195    
405.0000000000    -0.0000000680    0.0050884024    
406.0000000000    0.0000001383    0.0051004257    
407.0000000000    0.0000002055    0.0051131386    
408.0000000000    0.0000000149    0.0051255201    
409.0000000000    0.0000000455    0.0051379463    
410.0000000000    0.0000000340    0.0051508498    
411.0000000000    -0.0000001091    0.0051629174    
412.0000000000    -0.0000000618    0.0051757093    
413.0000000000    -0.0000000318    0.0051880110    
414.0000000000    -0.0000002600    0.0052007272    
415.0000000000    -0.0000004299    0.0052130220    
416.0000000000    -0.0000000280    0.0052259122    
417.0000000000    -0.0000000027    0.0052382608    
418.0000000000    0.0000000715    0.0052508178    
419.0000000000    0.0000000730    0.0052634399    
420.0000000000    -0.0000000561    0.0052762874    
421.0000000000    -0.0000000955    0.0052885739    
422.0000000000    -0.0000001119    0.0053012602    
423.0000000000    0.0000001507    0.0053134540    
424.0000000000    -0.0000003225    0.0053259954    
425.0000000000    -0.0000002187    0.0053386668    
426.0000000000    -0.0000000279    0.0053509531    
427.0000000000    -0.0000001488    0.0053639802    
428.0000000000    0.0000003935    0.0053764004    
429.0000000000    -0.0000002417    0.0053888086    
430.0000000000    0.0000001250    0.0054012014    
431.0000000000    0.0000000466    0.0054138712    
432.0000000000    -0.0000001238    0.0054265548    
433.0000000000    -0.0000000264    0.0054389105    
434.0000000000    0.0000001738    0.0054514817    
435.0000000000    -0.0000002634    0.0054638956    
436.0000000000    0.0000002645    0.0054764231    
437.0000000000    -0.0000001066    0.0054894757    
438.0000000000    -0.0000000250    0.0055012231    
439.0000000000    -0.0000000038    0.0055139306    
440.0000000000    0.0000000495    0.0055264918    
441.0000000000    0.0000000236    0.0055393472    
442.0000000000    -0.0000000353    0.0055515931    
443.0000000000    0.0000001430    0.0055641547    
444.0000000000    -0.0000002671    0.0055766021    
445.0000000000    -0.0000000082    0.0055893449    
446.0000000000    -0.0000001957    0.0056017532    
447.0000000000    0.0000000735    0.0056140495    
448.0000000000    0.0000001637    0.0056268077    
449.0000000000    -0.0000001059    0.0056394509    
450.0000000000    -0.0000000263    0.0056517831    
451.0000000000    -0.0000000492    0.0056644917    
452.0000000000    0.0000000605    0.0056768283    
453.0000000000    -0.0000001039    0.0056891975    
454.0000000000    0.0000000264    0.0057017970    
455.0000000000    0.0000000714    0.0057146291    
456.0000000000    -0.0000001124    0.0057268500    
457.0000000000    0.0000000416    0.0057396108    
458.0000000000    0.0000000197    0.0057519860    
459.0000000000    -0.0000000169    0.0057644024    
460.0000000000    0.0000000674    0.0057769455    
461.0000000000    0.0000001406    0.0057894802    
462.0000000000    -0.0000000373    0.0058023177    
463.0000000000    0.0000001236    0.0058147053    
464.0000000000    -0.0000000331    0.0058270785    
465.0000000000    -0.0000000278    0.0058397999    
466.0000000000    0.0000000805    0.0058521483    
467.0000000000    -0.0000002297    0.0058647064    
468.0000000000    -0.0000000917    0.0058773166    
469.0000000000    -0.0000000611    0.0058894515    
470.0000000000    0.0000001084    0.0059020265    
471.0000000000    0.0000001418    0.0059146734    
472.0000000000    0.0000000158    0.0059271328    
473.0000000000    0.0000002838    0.0059396331    
474.0000000000    0.0000000741    0.0059523474    
475.0000000000    0.0000000795    0.0059647115    
476.0000000000    0.0000000922    0.0059772680    
477.0000000000    -0.0000001542    0.0059897344    
478.0000000000    0.0000000445    0.0060022868    
479.0000000000    -0.0000001302    0.0060147534    
480.0000000000    0.0000000245    0.0060272884    
481.0000000000    0.0000000672    0.0060397726    
482.0000000000    -0.0000000552    0.0060521747    
483.0000000000    0.0000003286    0.0060649157    
484.0000000000    -0.0000000742    0.0060772193    
485.0000000000    -0.0000000443    0.0060896132    
486.0000000000    0.0000000145    0.0061020963    
487.0000000000    0.0000000590    0.0061147239    
488.0000000000    -0.0000001675    0.0061272205    
489.0000000000    -0.0000000358    0.0061397925    
490.0000000000    0.0000000859    0.0061522793    
491.0000000000    -0.0000002236    0.0061650835    
492.0000000000    -0.0000000407    0.0061774621    
493.0000000000    0.0000002112    0.0061896337    
494.0000000000    0.0000001424    0.0062022476    
495.0000000000    0.0000002241    0.0062147181    
496.0000000000    -0.0000000145    0.0062273791    
497.0000000000    -0.0000002935    0.0062399703    
498.0000000000    0.0000002068    0.0062523258    
499.0000000000    -0.0000000629    0.0062648337    
500.0000000000    0.0000000848    0.0062773313    
501.0000000000    -0.0000001760    0.0062895648    
502.0000000000    -0.0000001848    0.0063021246    
503.0000000000    -0.0000000889    0.0063148321    
504.0000000000    0.0000000322    0.0063275454    
505.0000000000    -0.0000001605    0.0063398932    
506.0000000000    -0.0000000103    0.0063521965    
507.0000000000    0.0000002147    0.0063646699    
508.0000000000    -0.0000001518    0.0063776779    
509.0000000000    -0.0000000918    0.0063899533    
510.0000000000    -0.0000002823    0.0064021221    
511.0000000000    0.0000000016    0.0064147813    
512.0000000000    -0.0000002555    0.0064277550    
513.0000000000    -0.0000001622    0.0064398374    
514.0000000000    -0.0000000902    0.0064520302    
515.0000000000    0.0000000197    0.0064647260    
516.0000000000    -0.0000001755    0.0064773932    
517.0000000000    -0.0000000856    0.0064896387    
518.0000000000    -0.0000001979    0.0065023223    
519.0000000000    0.0000000443    0.0065146805    
520.0000000000    0.0000000504    0.0065272251    
521.0000000000    0.0000002184    0.0065398562    
522.0000000000    -0.0000001101    0.0065525400    
523.0000000000    0.0000002746    0.0065648912    
524.0000000000    0.0000000527    0.0065772828    
525.0000000000    -0.0000002300    0.0065898074    
526.0000000000    0.0000000517    0.0066019603    
527.0000000000    0.0000001816    0.0066145735    
528.0000000000    -0.0000001447    0.0066270519    
529.0000000000    -0.0000000209    0.0066395801    
530.0000000000    -0.0000001648    0.0066521765    
531.0000000000    0.0000000949    0.0066648679    
532.0000000000    0.0000002403    0.0066770255    
533.0000000000    0.0000000701    0.0066899297    
534.0000000000    0.0000000467    0.0067024088    
535.0000000000    0.0000000436    0.0067146422    
536.0000000000    -0.0000000175    0.0067270039    
537.0000000000    0.0000000521    0.0067397103    
538.0000000000    0.0000001130    0.0067520782    
539.0000000000    0.0000000519    0.0067647591    
540.0000000000    0.0000002258    0.0067771989    
541.0000000000    -0.0000001775    0.0067896345    
542.0000000000    -0.0000000259    0.0068023081    
543.0000000000    0.0000000035    0.0068145934    
544.0000000000    -0.0000002265    0.0068266077    
545.0000000000    0.0000001664    0.0068398714    
546.0000000000    0.0000000263    0.0068521624    
547.0000000000    0.0000002875    0.0068644610    
548.0000000000    0.0000002052    0.0068771239    
549.0000000000    -0.0000003968    0.0068894001    
550.0000000000    -0.0000000552    0.0069020535    
551.0000000000    -0.0000000549    0.0069144979    
552.0000000000    -0.0000002652    0.0069269785    
553.0000000000    -0.0000000886    0.0069397282    
554.0000000000    -0.0000001262    0.0069521056    
555.0000000000    -0.0000001938    0.0069647821    
556.0000000000    0.0000001369    0.0069770641    
557.0000000000    -0.0000001939    0.0069895908    
558.0000000000    -0.0000002803    0.0070020873    
559.0000000000    -0.0000000669    0.0070145062    
560.0000000000    -0.0000000404    0.0070269601    
561.0000000000    0.0000001853    0.0070394911    
562.0000000000    -0.0000001177    0.0070521619    
563.0000000000    0.0000000079    0.0070645260    
564.0000000000    -0.0000001644    0.0070770791    
565.0000000000    -0.0000000655    0.0070898763    
566.0000000000    0.0000002553    0.0071018062    
567.0000000000    0.0000001673    0.0071145423    
568.0000000000    -0.0000000555    0.0071268976    
569.0000000000    0.0000000833    0.0071394621    
570.0000000000    -0.0000002400    0.0071518790    
571.0000000000    -0.0000000364    0.0071646966    
572.0000000000    0.0000001680    0.0071770982    
573.0000000000    -0.0000002009    0.0071893655    
574.0000000000    -0.0000001153    0.0072018647    
575.0000000000    -0.0000000808    0.0072145128    
576.0000000000    0.0000000220    0.0072268571    
577.0000000000    0.0000000061    0.0072393699    
578.0000000000    0.0000001006    0.0072518488    
579.0000000000    -0.0000000549    0.0072642284    
580.0000000000    -0.0000000579    0.0072768600    
581.0000000000    -0.0000001995    0.0072894119    
582.0000000000    -0.0000002387    0.0073021697    
583.0000000000    0.0000001961    0.0073144170    
584.0000000000    0.0000001028    0.0073267208    
585.0000000000    0.0000000972    0.0073392625    
586.0000000000    0.0000003136    0.0073517383    
587.0000000000    0.0000000273    0.0073641521    
588.0000000000    0.0000000107    0.0073767367    
589.0000000000    0.0000000190    0.0073893254    
590.0000000000    0.0000000806    0.0074019154    
591.0000000000    -0.0000001533    0.0074144775    
592.0000000000    -0.0000000705    0.0074266369    
593.0000000000    0.0000000747    0.0074393529    
594.0000000000    0.0000001170    0.0074519740    
595.0000000000    -0.0000002363    0.0074642896    
596.0000000000    0.0000001854    0.0074767207    
597.0000000000    0.0000000560    0.0074893645    
598.0000000000    -0.0000000930    0.0075017711    
599.0000000000    0.0000001631    0.0075143730    
600.0000000000    -0.0000002099    0.0075268193    
601.0000000000    0.0000001803    0.0075393634    
602.0000000000    -0.0000000329    0.0075513827    
603.0000000000    0.0000002632    0.0075643019    
604.0000000000    0.0000001336    0.0075767784    
605.0000000000    0.0000002474    0.0075888397    
606.0000000000    -0.0000000657    0.0076015841    
607.0000000000    0.0000000683    0.0076141738    
608.0000000000    -0.0000001505    0.0076266213    
609.0000000000    0.0000001505    0.0076390447    
610.0000000000    0.0000001250    0.0076512978    
611.0000000000    0.0000001357    0.0076642671    
612.0000000000    -0.0000000797    0.0076765766    
613.0000000000    0.0000000281    0.0076891227    
614.0000000000    -0.0000000532    0.0077016596    
615.0000000000    0.0000000390    0.0077141290    
616.0000000000    0.0000001117    0.0077262666    
617.0000000000    -0.0000001160    0.0077387465    
618.0000000000    -0.0000001010    0.0077513784    
619.0000000000    -0.0000000317    0.0077639980    
620.0000000000    0.0000001650    0.0077765811    
