TIME(sec.)  dVn  dVh  dVe  dH(m)  dFi(rad)  dLm(rad)
1.000000000000   0.000000621039   0.000000000000   -0.000000360536   0.000000000000   0.000000000000   0.000000000000   
2.000000000000   0.000418480592   0.000000000000   -0.000345403043   0.000000000000   0.000000129990   0.000000095006   
3.000000000000   0.000837463467   0.000000000000   -0.000694301546   0.000000000000   0.000000147170   0.000000098046   
4.000000000000   0.001212479579   0.000000000000   -0.001042376624   0.000000000000   0.000000153693   0.000000098941   
5.000000000000   0.001566220066   0.000000000000   -0.001380607441   0.000000000000   0.000000146320   0.000000101471   
6.000000000000   0.001887511286   0.000000000000   -0.001747722920   0.000000000000   0.000000143623   0.000000102048   
7.000000000000   0.002203074302   0.000000000000   -0.002078931154   0.000000000000   0.000000142303   0.000000100426   
8.000000000000   0.002545549497   0.000000000000   -0.002410457514   0.000000000000   0.000000146113   0.000000096491   
9.000000000000   0.002870837357   0.000000000000   -0.002739677981   0.000000000000   0.000000148528   0.000000096391   
10.000000000000   0.003207646961   0.000000000000   -0.003080472767   0.000000000000   0.000000150486   0.000000096242   
11.000000000000   0.003557498644   0.000000000000   -0.003393168201   0.000000000000   0.000000151123   0.000000098255   
12.000000000000   0.003885231187   0.000000000000   -0.003701293783   0.000000000000   0.000000149955   0.000000100920   
13.000000000000   0.004177970476   0.000000000000   -0.003997575232   0.000000000000   0.000000153570   0.000000106167   
14.000000000000   0.004472580216   0.000000000000   -0.004284871729   0.000000000000   0.000000156145   0.000000111300   
15.000000000000   0.004758542974   0.000000000000   -0.004596798057   0.000000000000   0.000000164872   0.000000114128   
16.000000000000   0.005033423539   0.000000000000   -0.004880971252   0.000000000000   0.000000161212   0.000000120742   
17.000000000000   0.005324261338   0.000000000000   -0.005191320999   0.000000000000   0.000000167381   0.000000127553   
18.000000000000   0.005616757489   0.000000000000   -0.005531945035   0.000000000000   0.000000166774   0.000000131895   
19.000000000000   0.005891366614   0.000000000000   -0.005848499447   0.000000000000   0.000000166204   0.000000128675   
20.000000000000   0.006157691088   0.000000000000   -0.006181507693   0.000000000000   0.000000164709   0.000000133841   
21.000000000000   0.006398760329   0.000000000000   -0.006511249697   0.000000000000   0.000000159081   0.000000135666   
22.000000000000   0.006604205005   0.000000000000   -0.006842730876   0.000000000000   0.000000158940   0.000000138655   
